trade_date,close,MA5,MA15
2025-07-03,86.24,,
2025-07-04,85.8,,
2025-07-07,85.48,,
2025-07-08,86.74,,
2025-07-09,85.85,86.02,
2025-07-10,85.67,85.91,
2025-07-11,88.16,86.38,
2025-07-14,87.52,86.79,
2025-07-15,87.89,87.02,
2025-07-16,87.12,87.27,
2025-07-17,88.79,87.9,
2025-07-18,88.51,87.97,
2025-07-21,89.02,88.27,
2025-07-22,89.08,88.5,
2025-07-23,89.39,88.96,87.42
2025-07-24,91.75,89.55,87.78
2025-07-25,93.47,90.54,88.3
2025-07-28,92.18,91.17,88.74
2025-07-29,92.17,91.79,89.1
2025-07-30,90.36,91.99,89.41
2025-07-31,89.5,91.54,89.66
2025-08-01,88.29,90.5,89.67
2025-08-04,90.07,90.08,89.84
2025-08-05,90.0,89.64,89.98
2025-08-06,90.78,89.73,90.22
2025-08-07,90.59,89.95,90.34
2025-08-08,86.66,89.62,90.22
2025-08-11,86.96,89.0,90.08
2025-08-12,88.52,88.7,90.05
2025-08-13,88.66,88.28,90.0
2025-08-14,89.46,88.05,89.84
2025-08-15,91.84,89.09,89.74
2025-08-18,92.31,90.16,89.74
2025-08-19,89.35,90.32,89.56
2025-08-20,92.28,91.05,89.68
2025-08-21,91.05,91.37,89.79
2025-08-22,103.97,93.79,90.83
2025-08-25,103.17,95.96,91.71
2025-08-26,100.93,98.28,92.44
2025-08-27,101.51,100.13,93.15
2025-08-28,119.22,105.76,95.06
2025-08-29,114.76,107.92,96.93
2025-09-09,102.99,107.88,98.0
2025-09-10,103.91,108.48,99.03
2025-09-11,110.28,110.23,100.47
2025-09-12,108.42,108.07,101.73
2025-09-15,108.66,106.85,102.85
2025-09-16,109.78,108.21,104.02
2025-09-17,117.39,110.91,105.89
2025-09-18,122.15,113.28,107.88
2025-09-19,121.34,115.86,109.9
2025-09-22,128.92,119.92,111.56
2025-09-23,128.51,123.66,113.25
2025-09-24,134.98,127.18,115.52
2025-09-25,134.11,129.57,117.69
2025-09-26,132.27,131.76,118.56
2025-09-29,136.02,133.18,119.98
2025-09-30,140.13,135.5,122.46
2025-10-09,138.91,136.29,124.79
2025-10-10,127.95,135.06,125.97
2025-10-13,136.47,135.9,127.84
2025-10-14,127.2,134.13,129.08
2025-10-15,129.56,132.02,130.39
2025-10-16,127.3,129.7,131.05
2025-10-17,121.98,128.5,131.04
2025-10-20,122.63,125.73,131.13
2025-10-21,127.19,125.73,131.01
2025-10-22,126.81,125.18,130.9
2025-10-23,128.3,125.38,130.46
2025-10-24,134.06,127.8,130.45
2025-10-27,134.5,130.17,130.6
2025-10-28,132.69,131.27,130.38
2025-10-29,133.0,132.51,129.9
2025-10-30,128.55,132.56,129.21
2025-10-31,124.18,130.58,128.96
2025-11-03,120.21,127.73,127.88
2025-11-04,119.88,125.16,127.39
2025-11-05,119.78,122.52,126.74
2025-11-06,124.85,121.78,126.57
2025-11-07,122.11,121.37,126.58
2025-11-10,120.01,121.33,126.41
2025-11-11,117.73,120.9,125.78
2025-11-12,119.63,120.87,125.3
2025-11-13,123.1,120.52,124.95
2025-11-14,118.18,119.73,123.89
2025-11-17,117.63,119.25,122.77
2025-11-18,117.96,119.3,121.79
2025-11-19,116.28,118.63,120.67
2025-11-20,116.78,117.37,119.89
2025-11-21,113.0,116.33,119.14
2025-11-24,111.51,115.11,118.56
2025-11-25,111.68,113.85,118.02
2025-11-26,112.71,113.14,117.54
2025-11-27,112.71,112.32,116.73
2025-11-28,113.6,112.44,116.17
2025-12-01,114.4,113.02,115.79
2025-12-02,113.0,113.28,115.48
2025-12-03,111.62,113.07,114.94
2025-12-04,114.73,113.47,114.39
2025-12-05,114.18,113.59,114.12
2025-12-08,117.2,114.15,114.09
2025-12-09,116.32,114.81,113.98
2025-12-10,116.31,115.75,113.98
2025-12-11,113.61,115.52,113.77
2025-12-12,116.8,116.05,114.03
2025-12-15,113.01,115.21,114.13
2025-12-16,110.7,114.09,114.06
2025-12-17,113.29,113.48,114.1
2025-12-18,112.8,113.32,114.1
2025-12-19,113.63,112.69,114.11
2025-12-22,120.45,114.17,114.51
2025-12-23,119.9,116.01,114.97
2025-12-24,123.41,118.04,115.76
2025-12-25,123.08,120.09,116.31
2025-12-26,122.1,121.79,116.84
2025-12-29,122.5,122.2,117.19
2025-12-30,125.28,123.27,117.79
2025-12-31,122.83,123.16,118.23
2026-01-05,129.95,124.53,119.32
2026-01-06,131.84,126.48,120.32
2026-01-07,129.98,127.98,121.45
2026-01-08,130.15,128.95,122.75
2026-01-09,128.88,130.16,123.79
2026-01-12,127.66,129.7,124.78
2026-01-13,123.63,128.06,125.44
2026-01-14,124.49,126.96,125.71
2026-01-15,124.44,125.82,126.01
2026-01-16,126.99,125.44,126.25
2026-01-19,125.29,124.97,126.4
2026-01-20,122.18,124.68,126.41
2026-01-21,127.19,125.22,126.72
2026-01-22,126.8,125.69,126.82
2026-01-23,124.96,125.28,126.96
2026-01-26,121.92,124.61,126.43
2026-01-27,124.05,124.98,125.91
2026-01-28,128.55,125.26,125.81
2026-01-29,122.4,124.38,125.3
2026-01-30,122.97,123.98,124.9
2026-02-02,117.06,123.01,124.19
2026-02-03,116.03,121.4,123.69
2026-02-04,114.84,118.66,123.04
2026-02-05,111.8,116.54,122.2
2026-02-06,112.7,114.49,121.25
