total_trades,total_pnl,win_rate,avg_win,avg_loss,profit_factor,max_win,max_loss,max_dd,avg_hold,max_consecutive_loss,win_count,lose_count,stock,entry_period,stop_n,exit_period,data_days
8,9137.0,0.875,1307.5714285714287,15.999999999999659,81.72321428571604,2284.0000000000005,-15.999999999999659,-1.599998400001566e-05,11.375,1,7,1,中芯A股(688981),10,1.5,5,237
7,6885.0,0.8571428571428571,1205.9999999999998,350.9999999999991,3.435897435897444,3298.0000000000005,-350.9999999999991,-0.0003497893789594205,16.285714285714285,1,6,1,中芯A股(688981),10,1.5,10,237
5,7979.000000000002,0.6,2836.3333333333335,264.9999999999999,10.703144654088055,4129.000000000001,-350.9999999999991,-0.00034997003817764227,28.4,1,3,2,中芯A股(688981),10,1.5,15,237
8,9137.0,0.875,1307.5714285714287,15.999999999999659,81.72321428571604,2284.0000000000005,-15.999999999999659,-1.599998400001566e-05,11.375,1,7,1,中芯A股(688981),10,2.0,5,237
7,6885.0,0.8571428571428571,1205.9999999999998,350.9999999999991,3.435897435897444,3298.0000000000005,-350.9999999999991,-0.0003497893789594205,16.285714285714285,1,6,1,中芯A股(688981),10,2.0,10,237
5,7979.000000000002,0.6,2836.3333333333335,264.9999999999999,10.703144654088055,4129.000000000001,-350.9999999999991,-0.00034997003817764227,28.4,1,3,2,中芯A股(688981),10,2.0,15,237
8,9137.0,0.875,1307.5714285714287,15.999999999999659,81.72321428571604,2284.0000000000005,-15.999999999999659,-1.599998400001566e-05,11.375,1,7,1,中芯A股(688981),10,2.5,5,237
7,6885.0,0.8571428571428571,1205.9999999999998,350.9999999999991,3.435897435897444,3298.0000000000005,-350.9999999999991,-0.0003497893789594205,16.285714285714285,1,6,1,中芯A股(688981),10,2.5,10,237
5,7979.000000000002,0.6,2836.3333333333335,264.9999999999999,10.703144654088055,4129.000000000001,-350.9999999999991,-0.00034997003817764227,28.4,1,3,2,中芯A股(688981),10,2.5,15,237
8,9137.0,0.875,1307.5714285714287,15.999999999999659,81.72321428571604,2284.0000000000005,-15.999999999999659,-1.599998400001566e-05,11.375,1,7,1,中芯A股(688981),10,3.0,5,237
7,6885.0,0.8571428571428571,1205.9999999999998,350.9999999999991,3.435897435897444,3298.0000000000005,-350.9999999999991,-0.0003497893789594205,16.285714285714285,1,6,1,中芯A股(688981),10,3.0,10,237
5,7979.000000000002,0.6,2836.3333333333335,264.9999999999999,10.703144654088055,4129.000000000001,-350.9999999999991,-0.00034997003817764227,28.4,1,3,2,中芯A股(688981),10,3.0,15,237
7,5843.999999999998,0.7142857142857143,1486.6,794.5000000000007,1.8711139081183117,1778.0,-1174.000000000001,-0.001165817129567566,8.428571428571429,1,5,2,中芯A股(688981),20,1.5,5,237
6,4023.999999999998,0.6666666666666666,1403.25,794.5000000000007,1.7662051604782867,2948.0000000000005,-1174.000000000001,-0.001167927942626287,13.166666666666666,1,4,2,中芯A股(688981),20,1.5,10,237
4,7052.999999999999,0.75,2489.3333333333335,415.00000000000057,5.998393574297181,3437.9999999999995,-415.00000000000057,-0.00041499958500041556,27.5,1,3,1,中芯A股(688981),20,1.5,15,237
6,6158.999999999999,0.8333333333333334,1466.6,1174.000000000001,1.2492333901192494,1715.0000000000005,-1174.000000000001,-0.0011654525708454206,10.333333333333334,1,5,1,中芯A股(688981),20,2.0,5,237
5,4338.999999999999,0.8,1378.25,1174.000000000001,1.173977853492333,2848.0000000000005,-1174.000000000001,-0.0011675620627858,16.4,1,4,1,中芯A股(688981),20,2.0,10,237
3,7368.0,1.0,2456.0,0.0,inf,3437.9999999999995,0.0,0.0,37.666666666666664,0,3,0,中芯A股(688981),20,2.0,15,237
6,6158.999999999999,0.8333333333333334,1466.6,1174.000000000001,1.2492333901192494,1715.0000000000005,-1174.000000000001,-0.0011654525708454206,10.333333333333334,1,5,1,中芯A股(688981),20,2.5,5,237
5,4338.999999999999,0.8,1378.25,1174.000000000001,1.173977853492333,2848.0000000000005,-1174.000000000001,-0.0011675620627858,16.4,1,4,1,中芯A股(688981),20,2.5,10,237
3,7368.0,1.0,2456.0,0.0,inf,3437.9999999999995,0.0,0.0,37.666666666666664,0,3,0,中芯A股(688981),20,2.5,15,237
6,6158.999999999999,0.8333333333333334,1466.6,1174.000000000001,1.2492333901192494,1715.0000000000005,-1174.000000000001,-0.0011654525708454206,10.333333333333334,1,5,1,中芯A股(688981),20,3.0,5,237
5,4338.999999999999,0.8,1378.25,1174.000000000001,1.173977853492333,2848.0000000000005,-1174.000000000001,-0.0011675620627858,16.4,1,4,1,中芯A股(688981),20,3.0,10,237
3,7368.0,1.0,2456.0,0.0,inf,3437.9999999999995,0.0,0.0,37.666666666666664,0,3,0,中芯A股(688981),20,3.0,15,237
7,5038.999999999999,0.7142857142857143,1325.6,794.5000000000007,1.6684707363121445,1778.0,-1174.000000000001,-0.0011667498166394036,7.428571428571429,1,5,2,中芯A股(688981),30,1.5,5,237
6,3218.999999999999,0.6666666666666666,1202.0,794.5000000000007,1.5129011957205776,2948.0000000000005,-1174.000000000001,-0.0011688640115333235,12.0,1,4,2,中芯A股(688981),30,1.5,10,237
4,6248.0,0.75,2221.0,415.00000000000057,5.351807228915655,3473.0000000000005,-415.00000000000057,-0.00041499958500041556,25.75,1,3,1,中芯A股(688981),30,1.5,15,237
6,5353.999999999999,0.8333333333333334,1305.6,1174.000000000001,1.1120954003407146,1715.0000000000005,-1174.000000000001,-0.0011663846744604486,9.166666666666666,1,5,1,中芯A股(688981),30,2.0,5,237
5,3533.999999999999,0.8,1177.0,1174.000000000001,1.0025553662691644,2848.0000000000005,-1174.000000000001,-0.0011684975450603119,15.0,1,4,1,中芯A股(688981),30,2.0,10,237
3,6563.0,1.0,2187.6666666666665,0.0,inf,3473.0000000000005,0.0,0.0,35.333333333333336,0,3,0,中芯A股(688981),30,2.0,15,237
6,5353.999999999999,0.8333333333333334,1305.6,1174.000000000001,1.1120954003407146,1715.0000000000005,-1174.000000000001,-0.0011663846744604486,9.166666666666666,1,5,1,中芯A股(688981),30,2.5,5,237
5,3533.999999999999,0.8,1177.0,1174.000000000001,1.0025553662691644,2848.0000000000005,-1174.000000000001,-0.0011684975450603119,15.0,1,4,1,中芯A股(688981),30,2.5,10,237
3,6563.0,1.0,2187.6666666666665,0.0,inf,3473.0000000000005,0.0,0.0,35.333333333333336,0,3,0,中芯A股(688981),30,2.5,15,237
6,5353.999999999999,0.8333333333333334,1305.6,1174.000000000001,1.1120954003407146,1715.0000000000005,-1174.000000000001,-0.0011663846744604486,9.166666666666666,1,5,1,中芯A股(688981),30,3.0,5,237
5,3533.999999999999,0.8,1177.0,1174.000000000001,1.0025553662691644,2848.0000000000005,-1174.000000000001,-0.0011684975450603119,15.0,1,4,1,中芯A股(688981),30,3.0,10,237
3,6563.0,1.0,2187.6666666666665,0.0,inf,3473.0000000000005,0.0,0.0,35.333333333333336,0,3,0,中芯A股(688981),30,3.0,15,237
6,3591.999999999998,0.6666666666666666,1212.0,628.0000000000008,1.9299363057324816,1715.0000000000005,-1174.000000000001,-0.0011684300937431274,7.166666666666667,1,4,2,中芯A股(688981),40,1.5,5,237
5,1771.9999999999982,0.6,982.3333333333334,587.5000000000007,1.6720567375886506,1998.0000000000005,-1174.000000000001,-0.0011705503880065455,12.6,1,3,2,中芯A股(688981),40,1.5,10,237
3,4800.999999999998,1.0,1600.3333333333328,0.0,inf,2706.0,0.0,0.0,31.333333333333332,0,3,0,中芯A股(688981),40,1.5,15,237
6,3591.999999999998,0.6666666666666666,1212.0,628.0000000000008,1.9299363057324816,1715.0000000000005,-1174.000000000001,-0.0011684300937431274,7.166666666666667,1,4,2,中芯A股(688981),40,2.0,5,237
5,1771.9999999999982,0.6,982.3333333333334,587.5000000000007,1.6720567375886506,1998.0000000000005,-1174.000000000001,-0.0011705503880065455,12.6,1,3,2,中芯A股(688981),40,2.0,10,237
3,4800.999999999998,1.0,1600.3333333333328,0.0,inf,2706.0,0.0,0.0,31.333333333333332,0,3,0,中芯A股(688981),40,2.0,15,237
6,3591.999999999998,0.6666666666666666,1212.0,628.0000000000008,1.9299363057324816,1715.0000000000005,-1174.000000000001,-0.0011684300937431274,7.166666666666667,1,4,2,中芯A股(688981),40,2.5,5,237
5,1771.9999999999982,0.6,982.3333333333334,587.5000000000007,1.6720567375886506,1998.0000000000005,-1174.000000000001,-0.0011705503880065455,12.6,1,3,2,中芯A股(688981),40,2.5,10,237
3,4800.999999999998,1.0,1600.3333333333328,0.0,inf,2706.0,0.0,0.0,31.333333333333332,0,3,0,中芯A股(688981),40,2.5,15,237
6,3591.999999999998,0.6666666666666666,1212.0,628.0000000000008,1.9299363057324816,1715.0000000000005,-1174.000000000001,-0.0011684300937431274,7.166666666666667,1,4,2,中芯A股(688981),40,3.0,5,237
5,1771.9999999999982,0.6,982.3333333333334,587.5000000000007,1.6720567375886506,1998.0000000000005,-1174.000000000001,-0.0011705503880065455,12.6,1,3,2,中芯A股(688981),40,3.0,10,237
3,4800.999999999998,1.0,1600.3333333333328,0.0,inf,2706.0,0.0,0.0,31.333333333333332,0,3,0,中芯A股(688981),40,3.0,15,237
4,69.99999999999886,0.5,1149.4999999999998,1114.5000000000005,1.0314042171377293,1443.9999999999998,-1174.000000000001,-0.001172540187466605,4.75,1,2,2,中芯A股(688981),55,1.5,5,237
